Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-07-01,JST,3,SYD,HNL,1,50,2,,false,,2024-07-01T16:20,2024-07-01T16:37,,,,,2024-07-01T05:50,,Boeing 787-8,,,,,,,,c192658d-533b-4712-a29e-0cca7dea94e6,268ac079-2a87-4263-9ea7-45abb07d3405,958827d6-30b4-4f21-9da2-e2e5c43635d0,520bf633-9001-4347-9db0-5aa228ee7c30,,4f948d40-962a-4fdf-b1d9-424282d24f76
2024-07-02,HAL,183,HNL,LIH,1,A14,,4,false,,2024-07-02T09:05,2024-07-02T09:03,,,,,2024-07-02T09:47,2024-07-02T09:44,Boeing 717-200,,,,,,,,4b3337cb-a138-452d-8932-73c74a9499ef,16ed4f70-8ae6-4430-80fe-370ac447fc96,520bf633-9001-4347-9db0-5aa228ee7c30,add4881d-d4d2-4082-be26-6f5956a0cbbe,,92a68bee-2e3c-4fc9-975a-20b0d93ac3ed
2024-07-06,HAL,284,LIH,HNL,,,1,A14,false,,2024-07-06T14:25,2024-07-06T14:19,,,,,2024-07-06T15:05,2024-07-06T14:54,Boeing 717-200,,,,,,,,1a3f0a82-4aa9-42a1-8a80-ef4b8c78a5a1,16ed4f70-8ae6-4430-80fe-370ac447fc96,add4881d-d4d2-4082-be26-6f5956a0cbbe,520bf633-9001-4347-9db0-5aa228ee7c30,,92a68bee-2e3c-4fc9-975a-20b0d93ac3ed
2024-07-15,JST,4,HNL,SYD,2,,1,51,false,,2024-07-15T08:20,2024-07-15T08:17,,,,,2024-07-16T14:40,,Boeing 787-8,,,,,,,,57777379-caa7-48da-a6ba-c280170f2f3b,268ac079-2a87-4263-9ea7-45abb07d3405,520bf633-9001-4347-9db0-5aa228ee7c30,958827d6-30b4-4f21-9da2-e2e5c43635d0,,4f948d40-962a-4fdf-b1d9-424282d24f76
2024-10-01,QFA,427,SYD,MEL,3,12,1,21,false,,2024-10-01T09:00,2024-10-01T09:00,,,,,2024-10-01T10:35,,Boeing 737-800,,,,,,,,d42ebc6a-8b71-4ea6-8583-2655a799c0de,ead75665-81f4-41bb-afc7-f213077b2846,958827d6-30b4-4f21-9da2-e2e5c43635d0,abdb643a-f7ba-4564-a003-40b64a7a01b2,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2024-10-01,QFA,2080,MEL,MQL,1,30,,,false,,2024-10-01T12:15,2024-10-01T12:06,,,,,2024-10-01T13:40,,DHC-8-300 Dash 8,,,,,,,,2cbb7b96-6a7d-441d-9038-367524f33e8f,ead75665-81f4-41bb-afc7-f213077b2846,abdb643a-f7ba-4564-a003-40b64a7a01b2,2af167c2-2465-47e4-af7f-90a98d6d2e46,,0ff3b116-562a-4002-9823-a0373c6c26e8
2024-10-02,QFA,2085,MQL,MEL,,,1,27,false,,2024-10-02T17:05,2024-10-02T16:57,,,,,2024-10-02T18:35,,DHC-8-300 Dash 8,,,,,,,,c4e2822d-b02b-4583-a9ca-50a9c270f635,ead75665-81f4-41bb-afc7-f213077b2846,2af167c2-2465-47e4-af7f-90a98d6d2e46,abdb643a-f7ba-4564-a003-40b64a7a01b2,,0ff3b116-562a-4002-9823-a0373c6c26e8
2024-10-02,QFA,492,MEL,SYD,1,9,3,9,false,,2024-10-02T19:45,2024-10-02T19:38,,,,,2024-10-02T21:10,,Boeing 737-800,,,,,,,,5ed92439-7ed7-4fad-98aa-3fe5147ea96f,ead75665-81f4-41bb-afc7-f213077b2846,abdb643a-f7ba-4564-a003-40b64a7a01b2,958827d6-30b4-4f21-9da2-e2e5c43635d0,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-10-31,CES,562,SYD,PVG,1,30,1,,false,,2024-10-31T12:00,2024-10-31T11:58,,,,,2024-10-31T19:30,2024-10-31T19:54,Airbus A350-900,,,,,,,,500ee740-ea3a-46dc-9e23-289023ffade1,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,958827d6-30b4-4f21-9da2-e2e5c43635d0,94ecd389-4c82-477f-8502-261c27f5b6fa,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2024-11-08,CCA,919,PVG,NRT,2,D83,1,36,false,,2024-11-08T14:20,,,,,,2024-11-08T18:10,,Airbus A350-900,,,,,,,,54edc050-b629-491d-90f2-6d3878fa0e73,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,94ecd389-4c82-477f-8502-261c27f5b6fa,42cbe764-fc30-49b0-9e72-eca5f6c21767,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2024-11-16,CCA,182,HND,PEK,3,109,3,B,false,,2024-11-16T14:20,2024-11-16T14:18,,,,,2024-11-16T17:25,2024-11-16T17:13,Airbus A330-300,,,,,,,,ce0886b4-0aba-4a01-a700-a172dc7ed6f3,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,deceac13-5547-4a5a-9877-06e35ae80304,fa495023-95f7-46c7-abf5-69a5f2120d69,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2024-11-17,CCA,907,PEK,MAD,3,E36,1,,false,,2024-11-17T01:55,,,,,,2024-11-17T07:10,,Boeing 787-9,,,,,,,,ad838d50-9332-4abb-b49a-90e7c2b21934,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fa495023-95f7-46c7-abf5-69a5f2120d69,f6e9455f-8a6d-4806-89c4-18c09a750f00,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-11-22,IBE,1760,SVQ,MAD,1,B16,4,,false,,2024-11-22T17:40,2024-11-22T17:36,,,,,2024-11-22T18:45,2024-11-22T18:41,Airbus A320,,,,,,,,59b65f8f-9b6a-4905-affb-6b91eb713407,4641204d-60ce-4786-824a-cf07cda81816,55138ed4-f7bf-405a-a6e4-84730c4bf31f,f6e9455f-8a6d-4806-89c4-18c09a750f00,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-11-22,IBE,1243,MAD,BLQ,4,K92,,,false,,2024-11-22T21:20,2024-11-22T21:35,,,,,2024-11-22T23:40,2024-11-23T00:05,Bombardier CRJ1000,,,,,,,,2a025b42-264e-45ac-bb92-5df4543c211e,4641204d-60ce-4786-824a-cf07cda81816,f6e9455f-8a6d-4806-89c4-18c09a750f00,04f676ab-952f-456d-9b9c-6505e47969c2,,7ac6ed32-2c53-43c1-be5b-fd01592a3c25
2024-12-02,DLH,283,BLQ,FRA,,6,1,,false,,2024-12-02T10:25,2024-12-02T10:29,,,,,2024-12-02T12:00,2024-12-02T11:52,Airbus A320,,,,,,,,a2896613-e519-48c6-8d6d-94fbf3278ca9,f5251aea-6a53-45b9-b762-9f6580de440e,04f676ab-952f-456d-9b9c-6505e47969c2,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-12-02,THA,921,FRA,BKK,1,B48,,,false,,2024-12-02T13:45,2024-12-02T13:54,,,,,2024-12-03T06:25,2024-12-03T06:25,Boeing 777-300 ER,,,,,,,,6aefba2e-1da5-4c1c-9ce5-0c4a00d9c8bb,a0b83fd3-dea9-4db2-a20a-cf6b63e1b6af,9e8dd658-32ff-4277-acb3-8c2b5dc39431,548d409f-68f7-4450-aaaf-87133919af6d,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-12-03,THA,475,BKK,SYD,,,1,30,false,,2024-12-03T08:30,2024-12-03T08:33,,,,,2024-12-03T21:50,2024-12-03T21:58,Airbus A350-900,,,,,,,,a72b8573-eff6-4e53-8343-fce75919cdd6,a0b83fd3-dea9-4db2-a20a-cf6b63e1b6af,548d409f-68f7-4450-aaaf-87133919af6d,958827d6-30b4-4f21-9da2-e2e5c43635d0,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-05-22,QFA,291,SYD,SIN,T1,37,T1,D48,false,,2025-05-22T10:20,2025-05-22T13:38,,,,,2025-05-22T16:50,2025-05-22T19:51,Airbus A330-300,,,,,,,,7970b1ab-d44e-4ccc-9f80-19551eb94477,ead75665-81f4-41bb-afc7-f213077b2846,958827d6-30b4-4f21-9da2-e2e5c43635d0,0408c509-a410-4361-806b-eebecfea9bc1,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
