departure_date,departure_time,departure_airport_iata,arrival_airport_iata,airline_iata,flight_number
2024-07-02,09:05,HNL,LIH,HA,183
2024-07-06,14:25,LIH,HNL,HA,284
2024-07-15,08:20,HNL,SYD,JQ,4
2024-10-01,09:00,SYD,MEL,QF,427
2024-10-01,12:15,MEL,MQL,QF,2080
2024-10-02,17:05,MQL,MEL,QF,2085
2024-10-02,19:45,MEL,SYD,QF,492
2024-10-31,12:00,SYD,PVG,MU,562
2024-11-08,14:20,PVG,NRT,CA,919
2024-11-16,14:20,HND,PEK,CA,182
2024-11-17,01:55,PEK,MAD,CA,907
2024-11-22,17:40,SVQ,MAD,IB,1760
2024-11-22,21:20,MAD,BLQ,IB,1243
2024-12-02,10:25,BLQ,FRA,LH,283
2024-12-02,13:45,FRA,BKK,TG,921
2024-12-03,08:30,BKK,SYD,TG,475
2025-05-22,10:20,SYD,SIN,QF,291
2025-05-31,23:10,SIN,IST,TK,55
2025-06-01,08:00,IST,BLQ,TK,1321
2025-06-07,17:20,MXP,KEF,U2,3967
2025-06-16,18:20,KEF,AMS,HV,6888
2025-06-22,18:55,EIN,BLQ,HV,5309
2025-07-07,10:40,BLQ,IST,TK,1322
2025-07-07,17:05,IST,SIN,TK,208
2025-07-09,20:45,SIN,SYD,QF,82
2025-08-13,10:05,SYD,BNE,QF,512
2025-08-18,09:15,BNE,SYD,QF,513
